"행정구역","2020년_거주자 인구수","2020년_세대수","2020년_세대당 인구","2020년_남자 인구수","2020년_여자 인구수","2020년_남여 비율"
"서울특별시 강북구 인수동(1130566000)","30,844","14,211","          2.17","14,906","15,938","          0.94"
"서울특별시 도봉구 (1132000000)","321,061","135,962","          2.36","156,545","164,516","          0.95"
"서울특별시 도봉구 창제1동(1132051100)","24,938","10,658","          2.34","11,893","13,045","          0.91"
"서울특별시 도봉구 창제2동(1132051200)","29,387","12,260","          2.40","14,336","15,051","          0.95"
"서울특별시 도봉구 창제3동(1132051300)","14,095","6,479","          2.18","7,034","7,061","          1.00"
"서울특별시 도봉구 창제4동(1132051400)","26,961","10,576","          2.55","12,959","14,002","          0.93"
"서울특별시 도봉구 창제5동(1132051500)","24,916","10,072","          2.47","11,973","12,943","          0.93"
"서울특별시 도봉구 도봉제1동(1132052100)","21,215","10,100","          2.10","10,738","10,477","          1.02"
"서울특별시 도봉구 도봉제2동(1132052200)","27,377","11,773","          2.33","13,394","13,983","          0.96"
"서울특별시 도봉구 쌍문제1동(1132066000)","21,447","9,226","          2.32","10,324","11,123","          0.93"
"서울특별시 도봉구 쌍문제2동(1132067000)","18,946","8,442","          2.24","9,113","9,833","          0.93"
"서울특별시 도봉구 쌍문제3동(1132068000)","16,517","7,708","          2.14","8,006","8,511","          0.94"
"서울특별시 도봉구 쌍문제4동(1132068100)","19,063","7,053","          2.70","9,007","10,056","          0.90"
"서울특별시 도봉구 방학제1동(1132069000)","28,647","12,484","          2.29","14,239","14,408","          0.99"
"서울특별시 도봉구 방학제2동(1132070000)","19,917","9,237","          2.16","10,063","9,854","          1.02"
"서울특별시 도봉구 방학제3동(1132071000)","27,635","9,894","          2.79","13,466","14,169","          0.95"
"서울특별시 노원구 (1135000000)","517,425","214,026","          2.42","249,740","267,685","          0.93"
"서울특별시 노원구 월계1동(1135056000)","22,127","10,213","          2.17","11,394","10,733","          1.06"
"서울특별시 노원구 월계2동(1135057000)","27,193","11,836","          2.30","13,127","14,066","          0.93"
"서울특별시 노원구 월계3동(1135058000)","30,294","12,791","          2.37","14,517","15,777","          0.92"
"서울특별시 노원구 공릉1동(1135059500)","37,236","17,941","          2.08","18,121","19,115","          0.95"
"서울특별시 노원구 공릉2동(1135060000)","39,396","16,227","          2.43","19,190","20,206","          0.95"
"서울특별시 노원구 하계1동(1135061100)","27,235","11,494","          2.37","13,129","14,106","          0.93"
"서울특별시 노원구 하계2동(1135061200)","22,489","8,182","          2.75","10,723","11,766","          0.91"
"서울특별시 노원구 중계본동(1135061900)","24,620","8,451","          2.91","12,065","12,555","          0.96"
"서울특별시 노원구 중계1동(1135062100)","27,256","8,910","          3.06","13,273","13,983","          0.95"
"서울특별시 노원구 중계4동(1135062400)","20,503","8,335","          2.46","9,908","10,595","          0.94"
"서울특별시 노원구 중계2.3동(1135062500)","35,099","15,159","          2.32","16,193","18,906","          0.86"
"서울특별시 노원구 상계1동(1135063000)","38,574","15,295","          2.52","18,727","19,847","          0.94"
"서울특별시 노원구 상계2동(1135064000)","20,273","8,585","          2.36","10,030","10,243","          0.98"
"서울특별시 노원구 상계3.4동(1135066500)","26,544","11,788","          2.25","13,209","13,335","          0.99"
"서울특별시 노원구 상계5동(1135067000)","24,283","10,717","          2.27","11,811","12,472","          0.95"
"서울특별시 노원구 상계6.7동(1135069500)","33,148","13,689","          2.42","15,373","17,775","          0.86"
"서울특별시 노원구 상계8동(1135070000)","22,756","9,065","          2.51","10,942","11,814","          0.93"
"서울특별시 노원구 상계9동(1135071000)","20,986","8,322","          2.52","9,976","11,010","          0.91"
"서울특별시 노원구 상계10동(1135072000)","17,413","7,026","          2.48","8,032","9,381","          0.86"
"서울특별시 은평구 (1138000000)","471,876","207,938","          2.27","226,485","245,391","          0.92"
"서울특별시 은평구 녹번동(1138051000)","36,722","16,990","          2.16","17,508","19,214","          0.91"
"서울특별시 은평구 불광제1동(1138052000)","39,002","17,430","          2.24","18,469","20,533","          0.90"
"서울특별시 은평구 불광제2동(1138053000)","28,028","13,662","          2.05","13,619","14,409","          0.95"
"서울특별시 은평구 갈현제1동(1138055100)","22,824","10,895","          2.09","11,127","11,697","          0.95"
"서울특별시 은평구 갈현제2동(1138055200)","28,471","12,358","          2.30","13,486","14,985","          0.90"
"서울특별시 은평구 구산동(1138056000)","32,145","12,911","          2.49","15,881","16,264","          0.98"
"서울특별시 은평구 대조동(1138057000)","26,658","13,874","          1.92","12,430","14,228","          0.87"
"서울특별시 은평구 응암제1동(1138058000)","30,484","13,707","          2.22","14,463","16,021","          0.90"
"서울특별시 은평구 응암제2동(1138059000)","27,056","10,623","          2.55","13,162","13,894","          0.95"
"서울특별시 은평구 응암제3동(1138060000)","24,732","12,396","          2.00","12,082","12,650","          0.96"
"서울특별시 은평구 역촌동(1138062500)","45,824","20,306","          2.26","21,650","24,174","          0.90"
"서울특별시 은평구 신사제1동(1138063100)","27,192","11,582","          2.35","13,138","14,054","          0.93"
"서울특별시 은평구 신사제2동(1138063200)","20,493","8,817","          2.32","10,231","10,262","          1.00"
"서울특별시 은평구 증산동(1138064000)","15,067","6,675","          2.26","7,362","7,705","          0.96"
"서울특별시 은평구 수색동(1138065000)","10,989","4,622","          2.38","5,422","5,567","          0.97"
"서울특별시 은평구 진관동(1138069000)","56,189","21,090","          2.66","26,455","29,734","          0.89"
"서울특별시 서대문구 (1141000000)","305,520","139,803","          2.19","146,326","159,194","          0.92"
"서울특별시 서대문구 천연동(1141052000)","17,319","7,663","          2.26","8,225","9,094","          0.90"
"서울특별시 서대문구 북아현동(1141055500)","16,273","7,180","          2.27","7,794","8,479","          0.92"
